iter	Passed	Remaining
405	4686	6857
406	4695	6840
407	4703	6824
408	4711	6808
409	4720	6792
410	4728	6776
411	4736	6759
412	4745	6744
413	4752	6726
414	4760	6710
415	4767	6693
416	4777	6679
417	4786	6664
418	4797	6652
419	4806	6638
420	4815	6622
421	4825	6609
422	4834	6593
423	4843	6580
424	4851	6563
425	4859	6547
426	4867	6531
427	4877	6519
428	4886	6504
429	4896	6491
430	4906	6477
431	4913	6460
432	4925	6449
433	4933	6433
434	4942	6419
435	4949	6402
436	4958	6387
437	4965	6371
438	4975	6358
439	4982	6341
440	4992	6327
441	5000	6312
442	5008	6297
443	5016	6282
444	5027	6269
445	5036	6256
446	5044	6240
447	5052	6224
448	5059	6209
449	5069	6195
450	5077	6180
451	5085	6166
452	5093	6150
453	5101	6135
454	5108	6119
455	5118	6106
456	5125	6090
457	5135	6076
458	5142	6060
459	5150	6045
460	5158	6031
461	5168	6018
462	5176	6004
463	5186	5991
464	5195	5977
465	5202	5961
466	5210	5946
467	5219	5933
468	5228	5919
469	5236	5905
470	5245	5891
471	5252	5875
472	5260	5860
473	5268	5846
474	5277	5832
475	5286	5819
476	5295	5805
477	5303	5791
478	5312	5778
479	5320	5764
480	5329	5750
481	5338	5737
482	5345	5722
483	5353	5707
484	5363	5695
485	5373	5682
486	5380	5668
487	5389	5655
488	5398	5641
489	5408	5629
490	5418	5616
491	5428	5605
492	5437	5592
493	5445	5577
494	5455	5565
495	5464	5552
496	5473	5539
497	5480	5524
498	5487	5509
499	5495	5495
500	5504	5482
501	5513	5469
502	5521	5455
503	5529	5441
504	5537	5427
505	5544	5412
506	5553	5399
507	5560	5385
508	5570	5373
509	5577	5358
510	5585	5345
511	5593	5330
512	5601	5318
513	5609	5304
514	5618	5291
515	5625	5276
516	5632	5262
517	5640	5248
518	5650	5236
519	5658	5222
520	5667	5210
521	5675	5196
522	5684	5184
523	5692	5171
524	5701	5158
525	5710	5145
526	5717	5132
527	5726	5118
528	5734	5105
529	5742	5092
530	5752	5080
531	5760	5067
532	5767	5053
533	5776	5040
534	5784	5027
535	5794	5015
536	5801	5002
537	5810	4989
538	5818	4976
539	5825	4962
540	5833	4949
541	5842	4937
542	5851	4925
543	5861	4913
544	5869	4900
545	5878	4887
546	5885	4873
547	5894	4862
548	5902	4848
549	5911	4836
550	5919	4823
551	5929	4812
552	5940	4801
553	5948	4788
554	5957	4777
555	5965	4763
556	5973	4750
557	5981	4737
558	5990	4725
559	5998	4712
560	6007	4700
561	6015	4688
562	6023	4675
563	6031	4662
564	6041	4651
565	6049	4638
566	6057	4626
567	6064	4612
568	6072	4599
569	6081	4587
570	6090	4576
571	6100	4564
572	6107	4551
573	6115	4538
574	6123	4526
575	6132	4514
576	6140	4501
577	6150	4490
578	6157	4477
579	6165	4464
580	6173	4452
581	6184	4441
582	6192	4429
583	6201	4417
584	6212	4406
585	6220	4394
586	6230	4383
587	6238	4370
588	6246	4359
589	6256	4347
590	6265	4335
591	6273	4323
592	6282	4312
593	6292	4300
594	6300	4288
595	6308	4276
596	6318	4264
597	6332	4256
598	6343	4246
599	6356	4237
600	6367	4227
601	6380	4218
602	6391	4208
603	6401	4196
604	6410	4185
605	6420	4174
606	6432	4164
607	6449	4158
608	6460	4147
609	6473	4138
610	6490	4132
611	6503	4123
612	6515	4113
613	6527	4103
614	6538	4093
615	6550	4083
616	6561	4072
617	6575	4064
618	6587	4054
619	6597	4043
620	6609	4033
621	6624	4025
622	6634	4014
623	6643	4003
624	6657	3994
625	6669	3984
626	6678	3973
627	6688	3961
628	6699	3951
629	6709	3940
630	6721	3930
631	6732	3920
632	6741	3908
633	6750	3897
634	6762	3886
635	6772	3876
636	6782	3865
637	6790	3853
638	6799	3841
639	6807	3829
640	6820	3819
641	6830	3808
642	6839	3797
643	6848	3785
644	6857	3774
645	6868	3763
646	6878	3753
647	6886	3741
648	6896	3729
649	6904	3717
650	6914	3706
651	6923	3695
652	6933	3684
653	6942	3672
654	6951	3661
655	6962	3651
656	6970	3639
657	6979	3627
658	6988	3616
659	6997	3604
660	7007	3593
661	7015	3582
662	7024	3570
663	7032	3558
664	7041	3547
665	7049	3535
666	7060	3525
667	7069	3513
668	7077	3501
669	7086	3490
670	7095	3478
671	7105	3467
672	7113	3456
673	7122	3445
674	7131	3433
675	7140	3422
676	7149	3411
677	7159	3400
678	7170	3389
679	7178	3377
680	7186	3366
681	7195	3355
682	7206	3344
683	7216	3333
684	7224	3322
685	7234	3311
686	7245	3300
687	7256	3290
688	7266	3279
689	7274	3268
690	7282	3256
691	7291	3245
692	7301	3234
693	7308	3222
694	7317	3211
695	7325	3199
696	7333	3187
697	7341	3176
698	7350	3165
699	7361	3154
700	7368	3142
701	7376	3131
702	7383	3119
703	7392	3108
704	7401	3096
705	7410	3085
706	7418	3074
707	7426	3063
708	7434	3051
709	7443	3040
710	7452	3029
711	7461	3018
712	7469	3006
713	7479	2995
714	7487	2984
715	7496	2973
716	7504	2962
717	7512	2950
718	7521	2939
719	7530	2928
720	7540	2918
721	7549	2906
722	7559	2896
723	7574	2887
724	7582	2876
725	7596	2866
726	7606	2856
727	7615	2845
728	7623	2834
729	7631	2822
730	7641	2811
731	7651	2801
732	7658	2789
733	7667	2778
734	7675	2767
735	7685	2756
736	7692	2745
737	7701	2734
738	7710	2723
739	7718	2712
740	7726	2700
741	7735	2689
742	7743	2678
743	7752	2667
744	7760	2656
745	7767	2644
746	7776	2633
747	7786	2623
748	7794	2612
749	7803	2601
750	7812	2590
751	7820	2579
752	7830	2568
753	7837	2557
754	7846	2546
755	7854	2534
756	7862	2524
757	7870	2512
758	7880	2502
759	7888	2491
760	7897	2480
761	7906	2469
762	7914	2458
763	7921	2447
764	7931	2436
765	7941	2426
766	7949	2414
767	7957	2403
768	7965	2392
769	7974	2382
770	7982	2370
771	7993	2360
772	8001	2349
773	8009	2338
774	8017	2327
775	8027	2317
776	8037	2306
777	8046	2295
778	8054	2284
779	8062	2273
780	8070	2263
781	8079	2252
782	8088	2241
783	8096	2230
784	8104	2219
785	8111	2208
786	8120	2197
787	8128	2186
788	8137	2176
789	8145	2165
790	8154	2154
791	8163	2143
792	8172	2133
793	8181	2122
794	8189	2111
795	8198	2101
796	8207	2090
797	8217	2080
798	8225	2069
799	8235	2058
800	8242	2047
801	8250	2036
802	8257	2025
803	8268	2015
804	8276	2004
805	8285	1994
806	8292	1983
807	8300	1972
808	8307	1961
809	8317	1951
810	8325	1940
811	8333	1929
812	8341	1918
813	8349	1907
814	8357	1896
815	8366	1886
816	8375	1876
817	8383	1865
818	8391	1854
819	8399	1843
820	8407	1833
821	8415	1822
822	8425	1811
823	8434	1801
824	8442	1790
825	8450	1780
826	8460	1769
827	8468	1759
828	8476	1748
829	8483	1737
830	8494	1727
831	8502	1716
832	8513	1706
833	8522	1696
834	8530	1685
835	8538	1675
836	8545	1664
837	8554	1653
838	8562	1643
839	8571	1632
840	8579	1622
841	8588	1611
842	8595	1600
843	8605	1590
844	8613	1580
845	8623	1569
846	8632	1559
847	8640	1548
848	8648	1538
849	8658	1527
850	8666	1517
851	8674	1506
852	8682	1496
853	8690	1485
854	8697	1475
855	8706	1464
856	8716	1454
857	8724	1443
858	8733	1433
859	8740	1422
860	8751	1412
861	8759	1402
862	8768	1391
863	8776	1381
864	8784	1371
865	8792	1360
866	8801	1350
867	8809	1339
868	8817	1329
869	8826	1318
870	8834	1308
871	8844	1298
872	8854	1288
873	8863	1277
874	8871	1267
875	8879	1256
876	8886	1246
877	8897	1236
878	8905	1225
879	8913	1215
880	8922	1205
881	8930	1194
882	8938	1184
883	8947	1174
884	8956	1163
885	8965	1153
886	8973	1143
887	8980	1132
888	8989	1122
889	8997	1112
890	9008	1102
891	9016	1091
892	9025	1081
893	9032	1071
894	9042	1060
895	9050	1050
896	9058	1040
897	9066	1029
898	9075	1019
899	9082	1009
900	9091	999
901	9100	988
902	9108	978
903	9116	968
904	9123	957
905	9132	947
906	9140	937
907	9150	927
908	9157	916
909	9166	906
910	9175	896
911	9185	886
912	9197	876
913	9209	866
914	9218	856
915	9226	846
916	9235	835
917	9242	825
918	9251	815
919	9259	805
920	9268	794
921	9276	784
922	9285	774
923	9296	764
924	9304	754
925	9313	744
926	9320	734
927	9331	723
928	9338	713
929	9348	703
930	9357	693
931	9366	683
932	9377	673
933	9385	663
934	9395	653
935	9403	642
936	9410	632
937	9419	622
938	9428	612
939	9436	602
940	9445	592
941	9452	582
942	9461	571
943	9468	561
944	9477	551
945	9485	541
946	9494	531
947	9502	521
948	9511	511
949	9519	501
950	9529	490
951	9537	480
952	9545	470
953	9553	460
954	9561	450
955	9571	440
956	9579	430
957	9588	420
958	9595	410
959	9603	400
960	9611	390
961	9621	380
962	9631	370
963	9642	360
964	9653	350
965	9663	340
966	9675	330
967	9687	320
968	9697	310
969	9709	300
970	9726	290
971	9738	280
972	9748	270
973	9758	260
974	9771	250
975	9781	240
976	9790	230
977	9801	220
978	9812	210
979	9822	200
980	9835	190
981	9847	180
982	9857	170
983	9869	160
984	9881	150
985	9892	140
986	9901	130
987	9914	120
988	9925	110
989	9935	100
990	9944	90
991	9956	80
992	9968	70
993	9979	60
994	9989	50
995	9998	40
996	10010	30
997	10022	20
998	10033	10
999	10045	0
