iter	RMSE
238	0.8581077456
239	0.8580238497
240	0.8579583383
241	0.8578824465
242	0.8578412922
243	0.8577248502
244	0.8575815112
245	0.8575053117
246	0.8573878367
247	0.8573307669
248	0.8571695088
249	0.8570419785
250	0.8569790671
251	0.8568569515
252	0.8567085431
253	0.8565699021
254	0.8565005963
255	0.8563224972
256	0.8562053557
257	0.8561199123
258	0.8560054897
259	0.8559474452
260	0.8558584008
261	0.8557494072
262	0.8556830114
263	0.8556108009
264	0.855539866
265	0.8554552233
266	0.8553482579
267	0.8552610372
268	0.8551498291
269	0.8550424864
270	0.8549427882
271	0.8548426323
272	0.8547532876
273	0.8546483996
274	0.8545524169
275	0.8544435097
276	0.8543334919
277	0.8542376094
278	0.854182141
279	0.854058921
280	0.8540112785
281	0.8539015689
282	0.8537754975
283	0.8536613467
284	0.8535804073
285	0.8534887018
286	0.8533984058
287	0.8533035251
288	0.853235467
289	0.8531350308
290	0.8530828388
291	0.8530012287
292	0.852928253
293	0.8528637145
294	0.8527819322
295	0.8527120791
296	0.8526194441
297	0.8525551571
298	0.8524719785
299	0.852388727
300	0.8522879329
301	0.8522117395
302	0.852104487
303	0.8520474836
304	0.8519842764
305	0.851868483
306	0.8518036489
307	0.8516623751
308	0.8516119124
309	0.8515661672
310	0.851468114
311	0.8513567926
312	0.8512868827
313	0.8512015986
314	0.851083492
315	0.8509917447
316	0.8509519912
317	0.8508598466
318	0.850798553
319	0.8506922423
320	0.8506062019
321	0.850558711
322	0.8505079597
323	0.8504555962
324	0.8504098634
325	0.8503261297
326	0.850235358
327	0.8501802526
328	0.8501009964
329	0.8499878087
330	0.8498722962
331	0.8498076026
332	0.8496852362
333	0.8495576372
334	0.8494521691
335	0.8493602663
336	0.849298257
337	0.8492129119
338	0.8491267421
339	0.8490820427
340	0.8489710527
341	0.8488446446
342	0.8487323006
343	0.848650945
344	0.8485541022
345	0.8484316428
346	0.8483666345
347	0.8482697068
348	0.8481724711
349	0.8481114468
350	0.8479896455
351	0.8479047512
352	0.8477708816
353	0.8477145968
354	0.8476579181
355	0.847564231
356	0.8474462407
357	0.847353543
358	0.8472648107
359	0.8471359129
360	0.8470249313
361	0.8469126644
362	0.8468419258
363	0.8467433096
364	0.8466709057
365	0.8466003437
366	0.8465628044
367	0.8464421424
368	0.8463598893
369	0.8462908834
370	0.8461587892
371	0.8460765129
372	0.8460305239
373	0.8459542785
374	0.8458706769
375	0.8457743995
376	0.8457019243
377	0.8456177658
378	0.8455372794
379	0.8454651544
380	0.8454096452
381	0.8453296088
382	0.845249013
383	0.8451995362
384	0.8451043995
385	0.8449967332
386	0.8449481227
387	0.8448632808
388	0.8447599815
389	0.8447076071
390	0.8445977289
391	0.8444884235
392	0.8443934499
393	0.8443061337
394	0.8442286529
395	0.8441099845
396	0.8440051498
397	0.8439081424
398	0.8438665604
399	0.8437769467
400	0.8436621231
401	0.8435476084
402	0.843415981
403	0.8433579875
404	0.8432837502
405	0.8432344919
406	0.8431587428
407	0.8430322618
408	0.8429557263
409	0.8428929759
410	0.8428353937
411	0.8427488744
412	0.8426447058
413	0.8426078626
414	0.8424782217
415	0.842340968
416	0.8422569425
417	0.8421527278
418	0.8420387323
419	0.8419453633
420	0.8418826988
421	0.8418045059
422	0.8417394441
423	0.8415877642
424	0.8414935658
425	0.8414257184
426	0.8413362857
427	0.84128453
428	0.8411983256
429	0.8410827015
430	0.840964925
431	0.8409098004
432	0.8408341672
433	0.8407229901
434	0.8406805791
435	0.8406114334
436	0.8404913384
437	0.8403963167
438	0.840318478
439	0.8402181023
440	0.8400959652
441	0.8400274192
442	0.839946122
443	0.8398683411
444	0.8397597909
445	0.8396993642
446	0.8396424779
447	0.8395383307
448	0.8394726815
449	0.8394061164
450	0.8393488085
451	0.8392765619
452	0.8391587962
453	0.8390861934
454	0.8389906726
455	0.8389116676
456	0.8388790484
457	0.8387662529
458	0.8387215532
459	0.8386138938
460	0.8385457482
461	0.83845483
462	0.8383568108
463	0.8382528326
464	0.8381528731
465	0.8380845365
466	0.8380411189
467	0.8379902944
468	0.8379050329
469	0.8378159736
470	0.8377361261
471	0.8376914078
472	0.8375558333
473	0.8374715866
474	0.8374011049
475	0.8373208372
476	0.8372502359
477	0.8371771208
478	0.8371212378
479	0.8370129165
480	0.8369065448
481	0.8368369029
482	0.8367956588
483	0.8367436012
484	0.836687997
485	0.8366214734
486	0.8365311312
487	0.8364332443
488	0.8363389203
489	0.8362341894
490	0.8361752953
491	0.8360688566
492	0.8359768976
493	0.8358760225
494	0.8357840084
495	0.8356544671
496	0.8355615131
497	0.8354785884
498	0.8354256011
499	0.8353685242
500	0.8352986941
501	0.8352292145
502	0.8351934142
503	0.8350976754
504	0.834998765
505	0.8349624481
506	0.8348946053
507	0.8347886575
508	0.8347183282
509	0.8346776999
510	0.8346146096
511	0.8345567041
512	0.834485713
513	0.8344417498
514	0.8343804996
515	0.8343002865
516	0.8342513041
517	0.8341518169
518	0.8340715684
519	0.8340221039
520	0.8339386368
521	0.8338820442
522	0.8338250518
523	0.8337790328
524	0.833697857
525	0.8336369609
526	0.8335631336
527	0.8334802059
528	0.8333958079
529	0.8333211947
530	0.8332442515
531	0.8331829636
532	0.8331128429
533	0.8330004508
534	0.832937911
535	0.8328341413
536	0.8327702877
537	0.8326942573
538	0.8326316254
539	0.8325663374
540	0.8324363044
541	0.8323312615
542	0.8322447382
543	0.8321324233
544	0.8320436295
545	0.8319958072
546	0.8319388459
547	0.8318647079
548	0.8318094303
549	0.8316940744
550	0.8316542837
551	0.8315803425
552	0.8315349756
553	0.8314584564
554	0.8313264746
555	0.8312171634
556	0.8311529877
557	0.831055417
558	0.8309748714
559	0.8308654178
560	0.8307708873
561	0.8307168604
562	0.8305711051
563	0.8304976479
564	0.8304436212
565	0.8303516963
566	0.8302870727
567	0.8302352116
568	0.8301807362
569	0.8300904714
570	0.8299828634
571	0.8299235039
572	0.8298427062
573	0.8297692642
574	0.8296466222
575	0.8295923585
576	0.8294744074
577	0.8293560585
578	0.8292790672
579	0.8291709322
580	0.8290960097
581	0.8289989378
582	0.828936017
583	0.8288860141
584	0.828842318
585	0.8287747372
586	0.8287243978
587	0.8286445157
588	0.8285758535
589	0.8284825703
590	0.8284334254
591	0.828313469
592	0.8282391712
593	0.8281457819
594	0.8280557858
595	0.8279248512
596	0.8278685909
597	0.8278247693
598	0.8277726694
599	0.8277154573
600	0.8276330136
601	0.8275194118
602	0.8274871334
603	0.8274231683
604	0.8273559183
605	0.8272837632
606	0.8272137872
607	0.8271430876
608	0.8270997762
609	0.8270196874
610	0.8268941076
611	0.8268299233
612	0.8267135543
613	0.8266474568
614	0.8265873163
615	0.8265083388
616	0.826457406
617	0.8264034833
618	0.8263454586
619	0.8262478326
620	0.8261851773
621	0.8261008848
622	0.826054597
623	0.8260223188
624	0.8259513631
625	0.8258846097
626	0.8258286399
627	0.8257808821
628	0.8256360481
629	0.8255255935
630	0.8254099527
631	0.8253176402
632	0.8252779642
633	0.8252351421
634	0.8251270255
635	0.8250386495
636	0.8249622791
637	0.8248884967
638	0.8248162525
639	0.8247680779
640	0.8246823911
641	0.82463146
642	0.8245760925
643	0.824475217
644	0.8243521778
645	0.8243029106
646	0.8242466369
647	0.824185525
648	0.8241374735
649	0.824090158
650	0.8239937797
651	0.8239630074
652	0.8238239531
653	0.8237853313
654	0.8236895472
655	0.8236374854
656	0.8235183144
657	0.8234530275
658	0.8233590845
659	0.8233089057
660	0.8231995343
661	0.8230867524
662	0.823028404
663	0.8229687709
664	0.8229169872
665	0.8228579234
666	0.8227843119
667	0.8227071779
668	0.8226425785
669	0.8225179673
670	0.8224397806
671	0.8223254513
672	0.8222602512
673	0.8222098826
674	0.8220762763
675	0.8220030406
676	0.8219182943
677	0.8218500493
678	0.8217885983
679	0.821701766
680	0.8216231605
681	0.8215106176
682	0.821455013
683	0.8213470707
684	0.8212867353
685	0.8212494591
686	0.8212169249
687	0.8211421253
688	0.821055971
689	0.8209638457
690	0.8208542055
691	0.820813646
692	0.8207329322
693	0.8206361848
694	0.8205119516
695	0.8204268982
696	0.8203850436
697	0.820325693
698	0.8202919651
699	0.8202378877
700	0.8201838132
701	0.8201236464
702	0.8200727521
703	0.8200086695
704	0.8199538694
705	0.8198910433
706	0.8198246539
707	0.8197603768
708	0.8196754062
709	0.8196055174
710	0.819518285
711	0.8194155635
712	0.819336394
713	0.8192362706
714	0.8191721727
715	0.819109831
716	0.8189952155
717	0.8189232093
718	0.8188519908
719	0.818792166
720	0.8187075814
721	0.818620247
722	0.8185457596
723	0.8184136758
724	0.8183899441
725	0.8183383961
726	0.8182728743
727	0.8182005221
728	0.8181169469
729	0.818043282
730	0.8179861057
731	0.8179160639
732	0.8178557456
733	0.8178025007
734	0.8177490608
735	0.8176981244
736	0.8176499761
737	0.8176177897
738	0.8175387494
739	0.8174426093
740	0.8173529307
741	0.8173112238
742	0.8172437052
743	0.8171918059
744	0.8171313378
745	0.8170882134
746	0.8169793853
747	0.816873682
748	0.8167952082
749	0.8167512593
750	0.8166755633
751	0.8166052893
752	0.8165243997
753	0.8164534888
754	0.816420779
755	0.8163556247
756	0.8162749214
757	0.8161891544
758	0.8160765572
759	0.8159780445
760	0.8158720701
761	0.8157720255
762	0.815694207
763	0.8156585781
764	0.8155882321
765	0.8155072834
766	0.8154284722
767	0.8153893382
768	0.8153140653
769	0.8152429847
770	0.8151515945
771	0.8150881501
772	0.8150572104
773	0.8150237178
774	0.8149436392
775	0.8148437076
776	0.8147486855
777	0.8146987515
778	0.8146439171
779	0.8145596213
780	0.814513119
781	0.8144376454
782	0.8143397059
783	0.8142554838
784	0.8141997465
785	0.8141324447
786	0.8140574009
787	0.8139620336
788	0.8138804403
789	0.8137853317
790	0.8137146996
791	0.8136121319
792	0.8135320491
793	0.8134557857
794	0.8133440274
795	0.8132366888
796	0.8131446099
797	0.8130796375
798	0.8130251301
799	0.8129426372
800	0.8128381964
801	0.8127567834
802	0.8127114009
803	0.8126758193
804	0.8125627112
805	0.8124966656
806	0.8123984337
807	0.812364109
808	0.8123021183
809	0.8122126445
810	0.8121338599
811	0.812100143
812	0.8120433396
813	0.8119595535
814	0.8118506893
815	0.8117865222
816	0.8116970404
817	0.8116346572
818	0.8115473651
819	0.8114955551
820	0.8114011972
821	0.8113500222
822	0.8112455953
823	0.8111363431
824	0.8110770511
825	0.8109658112
826	0.8109068835
827	0.8108160704
828	0.810779248
829	0.8106933498
830	0.8106194977
831	0.8105245419
832	0.8104456805
833	0.8103940017
834	0.8102995984
835	0.8102214347
836	0.8101422969
837	0.8100611499
838	0.8100135071
839	0.8099138744
840	0.8098558658
841	0.8098161602
842	0.8097812196
843	0.8096914496
844	0.8096294558
845	0.8095652567
846	0.8095203578
847	0.8094483335
848	0.8093602782
849	0.8093196882
850	0.8092710793
851	0.8092258738
852	0.8091359413
853	0.8090346321
854	0.8089723415
855	0.8089287254
856	0.8088590425
857	0.8088050114
858	0.8087470356
859	0.8086514939
860	0.8085679794
861	0.808477994
862	0.8084209635
863	0.8083901288
864	0.8083016369
865	0.8082348026
866	0.8081899026
867	0.8081285519
868	0.8080091584
869	0.8079194991
870	0.8078590714
871	0.8077936198
872	0.8077346391
873	0.8076629497
874	0.8076015583
875	0.8074903723
876	0.8073913629
877	0.807302031
878	0.8072520115
879	0.8071703057
880	0.8070591732
881	0.806966319
882	0.8069197982
883	0.8068678923
884	0.8068145501
885	0.8067378157
886	0.8066689016
887	0.8066453696
888	0.8065733233
889	0.8064879406
890	0.8064032734
891	0.8063379994
892	0.8062779109
893	0.8061923517
894	0.8061436882
895	0.8060831794
896	0.8060175641
897	0.8059649526
898	0.8058810763
899	0.8058595106
900	0.8057965028
901	0.8057344438
902	0.8056769448
903	0.805593742
904	0.8055385586
905	0.8054574306
906	0.8054256195
907	0.8053679003
908	0.8052939168
909	0.8052461178
910	0.8051615555
911	0.8050784959
912	0.8049997515
913	0.8049232739
914	0.8048412829
915	0.8047876683
916	0.8047091274
917	0.8046295734
918	0.8045344962
919	0.8044511203
920	0.8044113861
921	0.8043541164
922	0.8043015995
923	0.8042310755
924	0.804146062
925	0.8041015566
926	0.8040425932
927	0.8039613979
928	0.8038755546
929	0.8038020225
930	0.80374648
931	0.8036831211
932	0.8036286255
933	0.8035787865
934	0.8035163011
935	0.8034523806
936	0.8033987528
937	0.8033021846
938	0.8032401542
939	0.8031803295
940	0.8030974392
941	0.8030483045
942	0.8029669251
943	0.8028960332
944	0.8028408604
945	0.8027644762
946	0.802686409
947	0.8026149288
948	0.8025357561
949	0.8024421605
950	0.8023830273
951	0.8023351943
952	0.8022700339
953	0.8021966367
954	0.8021657558
955	0.8020812392
956	0.8020210918
957	0.8019818208
958	0.8019209529
959	0.801869285
960	0.8017923664
961	0.8017612686
962	0.8017219394
963	0.8016493729
964	0.8015760553
965	0.8015428115
966	0.8014662017
967	0.8013579077
968	0.8012865973
969	0.8012231429
970	0.8011283456
971	0.8010616567
972	0.8009835405
973	0.8009146212
974	0.8008292177
975	0.8008035461
976	0.8007526756
977	0.8006703836
978	0.8006150564
979	0.8005487521
980	0.8005032781
981	0.8004345766
982	0.8003314197
983	0.8002633834
984	0.8002326646
985	0.800090268
986	0.8000194431
987	0.7999282822
988	0.7998683797
989	0.7998275461
990	0.7998095936
991	0.7997398166
992	0.7996314671
993	0.7995715647
994	0.7995037788
995	0.7994391156
996	0.7993688888
997	0.7993016968
998	0.7992117492
999	0.7991449592
